gs,flr,dyn_inc,cls,output_string,output_numeric
0.3,0.3,0.3,0.3,MAINTAIN,0.666615990747995
0.3,0.3,0.3,0.9,MAINTAIN,0.666615990747995
0.3,0.3,0.3,1.4,MAINTAIN,0.666615990747995
0.3,0.3,0.9,0.3,MAINTAIN,0.666615990747995
0.3,0.3,0.9,0.9,MAINTAIN,0.666615990747995
0.3,0.3,0.9,1.4,MAINTAIN,0.666615990747995
0.3,0.3,1.4,0.3,MAINTAIN,0.666615990747995
0.3,0.3,1.4,0.9,MAINTAIN,0.666615990747995
0.3,0.3,1.4,1.4,MAINTAIN,0.666615990747995
0.3,0.9,0.3,0.3,DEFENCE,0.44243361691157507
0.3,0.9,0.3,0.9,DEFENCE,0.44243361691157507
0.3,0.9,0.3,1.4,DEFENCE,0.44243361691157507
0.3,0.9,0.9,0.3,DEFENCE,0.40899201156202536
0.3,0.9,0.9,0.9,DEFENCE,0.40899201156202536
0.3,0.9,0.9,1.4,DEFENCE,0.4070689978903031
0.3,0.9,1.4,0.3,DEFENCE,0.41339032649000107
0.3,0.9,1.4,0.9,DEFENCE,0.41339032649000107
0.3,0.9,1.4,1.4,DEFENCE,0.4070689978903031
0.3,1.4,0.3,0.3,DEFENCE,0.3019447703622694
0.3,1.4,0.3,0.9,DEFENCE,0.3019447703622694
0.3,1.4,0.3,1.4,DEFENCE,0.3019447703622694
0.3,1.4,0.9,0.3,DEFENCE,0.2609149759574998
0.3,1.4,0.9,0.9,DEFENCE,0.2609149759574998
0.3,1.4,0.9,1.4,DEFENCE,0.2991328559008384
0.3,1.4,1.4,0.3,RETRAIT,0.13529337677150738
0.3,1.4,1.4,0.9,RETRAIT,0.13529337677150738
0.3,1.4,1.4,1.4,DEFENCE,0.2991328559008384
0.9,0.3,0.3,0.3,MAINTAIN,0.6665084479355919
0.9,0.3,0.3,0.9,MAINTAIN,0.6665084479355919
0.9,0.3,0.3,1.4,MAINTAIN,0.6665084479355919
0.9,0.3,0.9,0.3,MAINTAIN,0.6665084479355919
0.9,0.3,0.9,0.9,MAINTAIN,0.6665084479355919
0.9,0.3,0.9,1.4,MAINTAIN,0.6665084479355919
0.9,0.3,1.4,0.3,MAINTAIN,0.6665084479355919
0.9,0.3,1.4,0.9,MAINTAIN,0.6665084479355919
0.9,0.3,1.4,1.4,MAINTAIN,0.6665084479355919
0.9,0.9,0.3,0.3,MAINTAIN,0.5000000000000013
0.9,0.9,0.3,0.9,MAINTAIN,0.5000000000000013
0.9,0.9,0.3,1.4,MAINTAIN,0.5000000000000013
0.9,0.9,0.9,0.3,DEFENCE,0.4907989750757059
0.9,0.9,0.9,0.9,DEFENCE,0.4907989750757059
0.9,0.9,0.9,1.4,DEFENCE,0.4907989750757059
0.9,0.9,1.4,0.3,DEFENCE,0.49687090970335995
0.9,0.9,1.4,0.9,DEFENCE,0.49687090970335995
0.9,0.9,1.4,1.4,DEFENCE,0.4907989750757059
0.9,1.4,0.3,0.3,DEFENCE,0.3243202007169734
0.9,1.4,0.3,0.9,DEFENCE,0.3243202007169734
0.9,1.4,0.3,1.4,DEFENCE,0.3243202007169734
0.9,1.4,0.9,0.3,DEFENCE,0.3243202007169734
0.9,1.4,0.9,0.9,DEFENCE,0.3243202007169734
0.9,1.4,0.9,1.4,DEFENCE,0.3243202007169734
0.9,1.4,1.4,0.3,RETRAIT,0.15775733393348756
0.9,1.4,1.4,0.9,RETRAIT,0.15775733393348756
0.9,1.4,1.4,1.4,DEFENCE,0.3243202007169734
1.4,0.3,0.3,0.3,MAINTAIN,0.6962761100079986
1.4,0.3,0.3,0.9,MAINTAIN,0.7304349318033824
1.4,0.3,0.3,1.4,ATTACK,0.8616589556741711
1.4,0.3,0.9,0.3,MAINTAIN,0.6962761100079986
1.4,0.3,0.9,0.9,MAINTAIN,0.7304349318033824
1.4,0.3,0.9,1.4,ATTACK,0.8616589556741711
1.4,0.3,1.4,0.3,MAINTAIN,0.6962761100079986
1.4,0.3,1.4,0.9,MAINTAIN,0.7304349318033824
1.4,0.3,1.4,1.4,ATTACK,0.8616589556741711
1.4,0.9,0.3,0.3,MAINTAIN,0.6766710082254807
1.4,0.9,0.3,0.9,MAINTAIN,0.6829492238884506
1.4,0.9,0.3,1.4,ATTACK,0.8616589556741711
1.4,0.9,0.9,0.3,MAINTAIN,0.6766710082254807
1.4,0.9,0.9,0.9,MAINTAIN,0.6829492238884506
1.4,0.9,0.9,1.4,ATTACK,0.8616589556741711
1.4,0.9,1.4,0.3,MAINTAIN,0.6766710082254807
1.4,0.9,1.4,0.9,MAINTAIN,0.6829492238884506
1.4,0.9,1.4,1.4,ATTACK,0.8616589556741711
1.4,1.4,0.3,0.3,MAINTAIN,0.6666114075543706
1.4,1.4,0.3,0.9,MAINTAIN,0.6666114075543706
1.4,1.4,0.3,1.4,MAINTAIN,0.6962761100079986
1.4,1.4,0.9,0.3,MAINTAIN,0.6666114075543706
1.4,1.4,0.9,0.9,MAINTAIN,0.6666114075543706
1.4,1.4,0.9,1.4,MAINTAIN,0.6962761100079986
1.4,1.4,1.4,0.3,MAINTAIN,0.6666114075543706
1.4,1.4,1.4,0.9,MAINTAIN,0.6666114075543706
1.4,1.4,1.4,1.4,MAINTAIN,0.6962761100079986
